date,role,count
2022-08-02,Jester,1
2022-08-02,Killer Clown,1
2022-08-02,Mad Scientist,3
2022-08-02,Medium,1
2022-08-02,Paladin,1
2022-08-02,Paramedic,1
2022-08-02,Parasite,2
2022-08-02,Randoman,2
2022-08-02,Tracker,1
2022-08-02,Traitor,5
2022-08-02,Turncoat,1
2022-08-02,Veteran,2
2022-08-09,Drunk,2
2022-08-09,Glitch,1
2022-08-09,Hypnotist,1
2022-08-09,Informant,1
2022-08-09,Innocent,8
2022-08-09,Killer Clown,1
2022-08-09,Loot Goblin,1
2022-08-09,Mad Scientist,1
2022-08-09,Parasite,1
2022-08-09,Randoman,2
2022-08-09,Summoner,1
2022-08-09,Swapper,2
2022-08-09,Tracker,2
2022-08-09,Traitor,4
2022-08-09,Turncoat,2
2022-08-09,Veteran,2
2022-08-13,Beggar,2
2022-08-13,Deputy,3
2022-08-13,Drunk,6
2022-08-13,Glitch,3
2022-08-13,Hypnotist,1
2022-08-13,Informant,1
2022-08-13,Innocent,24
2022-08-13,Jester,3
2022-08-13,Loot Goblin,1
2022-08-13,Mad Scientist,1
2022-08-13,Medium,3
2022-08-13,Paladin,3
2022-08-13,Parasite,4
2022-08-13,Summoner,1
2022-08-13,Swapper,1
2022-08-13,Tracker,2
2022-08-13,Traitor,12
2022-08-13,Veteran,1
2022-08-20,Beggar,1
2022-08-20,Drunk,4
2022-08-20,Glitch,2
2022-08-20,Informant,2
2022-08-20,Innocent,12
2022-08-20,Jester,4
2022-08-20,Loot Goblin,1
2022-08-20,Mad Scientist,2
2022-08-20,Paladin,2
2022-08-20,Paramedic,1
2022-08-20,Parasite,2
2022-08-20,Randoman,4
2022-08-20,Summoner,2
2022-08-20,Traitor,6
2022-08-20,Turncoat,2
2022-08-20,Veteran,1
2022-08-23,Beggar,2
2022-08-23,Drunk,1
2022-08-23,Glitch,1
2022-08-23,Hypnotist,1
2022-08-23,Impersonator,2
2022-08-23,Informant,1
2022-08-23,Innocent,13
2022-08-23,Jester,1
2022-08-23,Loot Goblin,1
2022-08-23,Mad Scientist,3
2022-08-23,Medium,1
2022-08-23,Paladin,1
2022-08-23,Paramedic,3
2022-08-23,Parasite,1
2022-08-23,Randoman,3
2022-08-23,Summoner,1
2022-08-23,Swapper,1
2022-08-23,Tracker,1
2022-08-23,Traitor,8
2022-08-23,Turncoat,1
2022-08-23,Veteran,1
2022-08-27,Bee,1
2022-08-27,Beggar,3
2022-08-27,Deputy,1
2022-08-27,Drunk,4
2022-08-27,Glitch,4
2022-08-27,Hypnotist,1
2022-08-27,Informant,1
2022-08-27,Innocent,14
2022-08-27,Jester,2
2022-08-27,Killer Clown,1
2022-08-27,Mad Scientist,3
2022-08-27,Medium,3
2022-08-27,Parasite,3
2022-08-27,Queen Bee,1
2022-08-27,Randoman,1
2022-08-27,Summoner,1
2022-08-27,Swapper,1
2022-08-27,Tracker,3
2022-08-27,Traitor,6
2022-08-27,Turncoat,1
2022-08-27,Veteran,1
2022-09-03,Beggar,1
2022-09-03,Detective,1
2022-09-03,Drunk,1
2022-09-03,Hypnotist,1
2022-09-03,Impersonator,1
2022-09-03,Informant,3
2022-09-03,Innocent,10
2022-09-03,Jester,3
2022-09-03,Mad Scientist,3
2022-09-03,Medium,1
2022-09-03,Paladin,1
2022-09-03,Paramedic,2
2022-09-03,Randoman,1
2022-09-03,Swapper,1
2022-09-03,Tracker,1
2022-09-03,Traitor,5
2022-09-03,Turncoat,3
2022-09-03,Veteran,1
2022-09-10,Deputy,3
2022-09-10,Drunk,1
2022-09-10,Glitch,1
2022-09-10,Hypnotist,1
2022-09-10,Impersonator,1
2022-09-10,Informant,3
2022-09-10,Innocent,16
2022-09-10,Jester,4
2022-09-10,Killer Clown,1
2022-09-10,Loot Goblin,1
2022-09-10,Medium,3
2022-09-10,Paladin,2
2022-09-10,Parasite,2
2022-09-10,Randoman,1
2022-09-10,Summoner,1
2022-09-10,Swapper,1
2022-09-10,Tracker,2
2022-09-10,Traitor,8
2022-09-10,Turncoat,3
2022-09-10,Veteran,1
2022-09-17,Beggar,1
2022-09-17,Deputy,1
2022-09-17,Glitch,2
2022-09-17,Informant,1
2022-09-17,Innocent,11
2022-09-17,Jester,1
2022-09-17,Killer Clown,1
2022-09-17,Mad Scientist,1
2022-09-17,Medium,1
2022-09-17,Paladin,2
2022-09-17,Parasite,1
2022-09-17,Summoner,2
2022-09-17,Tracker,2
2022-09-17,Traitor,6
2022-09-17,Turncoat,2
2022-09-20,Beggar,1
2022-09-20,Deputy,3
2022-09-20,Glitch,2
2022-09-20,Impersonator,2
2022-09-20,Informant,1
2022-09-20,Innocent,6
2022-09-20,Killer Clown,1
2022-09-20,Loot Goblin,1
2022-09-20,Mad Scientist,1
2022-09-20,Medium,1
2022-09-20,Paladin,1
2022-09-20,Parasite,2
2022-09-20,Tracker,2
2022-09-20,Traitor,3
2022-09-20,Turncoat,1
2022-09-24,Deputy,1
2022-09-24,Glitch,1
2022-09-24,Impersonator,1
2022-09-24,Informant,1
2022-09-24,Innocent,12
2022-09-24,Jester,1
2022-09-24,Loot Goblin,1
2022-09-24,Mad Scientist,2
2022-09-24,Paladin,2
2022-09-24,Paramedic,2
2022-09-24,Parasite,1
2022-09-24,Randoman,3
2022-09-24,Summoner,3
2022-09-24,Swapper,2
2022-09-24,Tracker,1
2022-09-24,Traitor,6
2022-09-24,Turncoat,1
2022-09-24,Veteran,1
2022-09-27,Deputy,2
2022-09-27,Glitch,1
2022-09-27,Informant,2
2022-09-27,Innocent,12
2022-09-27,Jester,1
2022-09-27,Killer Clown,2
2022-09-27,Loot Goblin,2
2022-09-27,Mad Scientist,1
2022-09-27,Medium,1
2022-09-27,Paladin,2
2022-09-27,Randoman,1
2022-09-27,Summoner,4
2022-09-27,Tracker,2
2022-09-27,Traitor,6
2022-09-27,Turncoat,2
2022-09-27,Veteran,1
2022-10-01,Beggar,1
2022-10-01,Deputy,2
2022-10-01,Glitch,1
2022-10-01,Hypnotist,1
2022-10-01,Informant,2
2022-10-01,Innocent,10
2022-10-01,Jester,1
2022-10-01,Loot Goblin,3
2022-10-01,Paladin,1
2022-10-01,Parasite,2
2022-10-01,Randoman,2
2022-10-01,Tracker,2
2022-10-01,Traitor,5
2022-10-01,Turncoat,1
2022-10-01,Veteran,1
2022-10-04,Deputy,2
2022-10-04,Glitch,2
2022-10-04,Hypnotist,2
2022-10-04,Informant,2
2022-10-04,Innocent,10
2022-10-04,Jester,1
2022-10-04,Mad Scientist,1
2022-10-04,Paladin,1
2022-10-04,Randoman,2
2022-10-04,Tracker,1
2022-10-04,Traitor,4
2022-10-08,Drunk,1
2022-10-08,Glitch,2
2022-10-08,Hypnotist,1
2022-10-08,Informant,1
2022-10-08,Innocent,11
2022-10-08,Jester,1
2022-10-08,Loot Goblin,1
2022-10-08,Mad Scientist,1
2022-10-08,Medium,1
2022-10-08,Paramedic,1
2022-10-08,Parasite,2
2022-10-08,Randoman,2
2022-10-08,Summoner,1
2022-10-08,Tracker,2
2022-10-08,Traitor,5
2022-10-08,Turncoat,1
2022-10-08,Veteran,1
2022-10-11,Beggar,1
2022-10-11,Drunk,1
2022-10-11,Glitch,1
2022-10-11,Hypnotist,2
2022-10-11,Innocent,8
2022-10-11,Jester,1
2022-10-11,Killer Clown,1
2022-10-11,Randoman,1
2022-10-11,Summoner,1
2022-10-11,Tracker,3
2022-10-11,Traitor,5
2022-10-11,Turncoat,1
2022-10-11,Veteran,2
2022-10-15,Beggar,1
2022-10-15,Glitch,2
2022-10-15,Informant,5
2022-10-15,Innocent,14
2022-10-15,Jester,3
2022-10-15,Loot Goblin,1
2022-10-15,Medium,1
2022-10-15,Paladin,2
2022-10-15,Paramedic,3
2022-10-15,Parasite,1
2022-10-15,Randoman,1
2022-10-15,Summoner,1
2022-10-15,Swapper,2
2022-10-15,Tracker,3
2022-10-15,Traitor,7
2022-10-15,Turncoat,2
2022-10-18,Bee,2
2022-10-18,Deputy,2
2022-10-18,Glitch,2
2022-10-18,Informant,1
2022-10-18,Innocent,13
2022-10-18,Loot Goblin,2
2022-10-18,Paladin,1
2022-10-18,Parasite,1
2022-10-18,Randoman,1
2022-10-18,Summoner,1
2022-10-18,Swapper,2
2022-10-18,Tracker,2
2022-10-18,Traitor,5
2022-10-22,Beggar,1
2022-10-22,Deputy,1
2022-10-22,Drunk,3
2022-10-22,Glitch,2
2022-10-22,Hypnotist,2
2022-10-22,Informant,3
2022-10-22,Innocent,15
2022-10-22,Jester,5
2022-10-22,Loot Goblin,1
2022-10-22,Mad Scientist,2
2022-10-22,Medium,2
2022-10-22,Paladin,3
2022-10-22,Paramedic,1
2022-10-22,Parasite,3
2022-10-22,Randoman,2
2022-10-22,Traitor,7
2022-10-22,Turncoat,2
2022-10-22,Veteran,1
2022-10-25,Beggar,1
2022-10-25,Drunk,1
2022-10-25,Glitch,1
2022-10-25,Impersonator,1
2022-10-25,Informant,1
2022-10-25,Innocent,10
2022-10-25,Jester,2
2022-10-25,Medium,1
2022-10-25,Paladin,3
2022-10-25,Parasite,2
2022-10-25,Randoman,1
2022-10-25,Summoner,1
2022-10-25,Swapper,1
2022-10-25,Traitor,5
2022-10-25,Turncoat,3
2022-10-25,Veteran,1
2022-10-29,Drunk,1
2022-10-29,Hypnotist,1
2022-10-29,Informant,2
2022-10-29,Innocent,13
2022-10-29,Jester,5
2022-10-29,Mad Scientist,5
2022-10-29,Medium,1
2022-10-29,Paramedic,1
2022-10-29,Parasite,2
2022-10-29,Randoman,2
2022-10-29,Summoner,1
2022-10-29,Tracker,3
2022-10-29,Traitor,6
2022-10-29,Turncoat,2
2022-10-29,Veteran,3
2022-11-01,Beggar,1
2022-11-01,Drunk,1
2022-11-01,Glitch,3
2022-11-01,Informant,1
2022-11-01,Innocent,19
2022-11-01,Loot Goblin,1
2022-11-01,Mad Scientist,2
2022-11-01,Paramedic,1
2022-11-01,Parasite,1
2022-11-01,Randoman,2
2022-11-01,Summoner,4
2022-11-01,Swapper,1
2022-11-01,Tracker,3
2022-11-01,Traitor,6
2022-11-01,Turncoat,1
2022-11-01,Veteran,1
2022-11-05,Beggar,1
2022-11-05,Deputy,1
2022-11-05,Drunk,4
2022-11-05,Glitch,2
2022-11-05,Hypnotist,1
2022-11-05,Impersonator,3
2022-11-05,Informant,1
2022-11-05,Innocent,12
2022-11-05,Jester,4
2022-11-05,Mad Scientist,2
2022-11-05,Randoman,3
2022-11-05,Summoner,1
2022-11-05,Swapper,1
2022-11-05,Tracker,3
2022-11-05,Traitor,6
2022-11-05,Turncoat,2
2022-11-05,Veteran,1
2022-11-08,Deputy,1
2022-11-08,Drunk,1
2022-11-08,Hypnotist,2
2022-11-08,Impersonator,1
2022-11-08,Informant,1
2022-11-08,Innocent,14
2022-11-08,Jester,1
2022-11-08,Killer Clown,1
2022-11-08,Mad Scientist,2
2022-11-08,Medium,1
2022-11-08,Paladin,4
2022-11-08,Parasite,1
2022-11-08,Randoman,1
2022-11-08,Summoner,2
2022-11-08,Swapper,2
2022-11-08,Tracker,1
2022-11-08,Traitor,7
2022-11-08,Turncoat,3
2022-11-08,Veteran,3
2022-11-12,Beggar,1
2022-11-12,Deputy,1
2022-11-12,Drunk,1
2022-11-12,Glitch,1
2022-11-12,Innocent,8
2022-11-12,Jester,1
2022-11-12,Loot Goblin,1
2022-11-12,Medium,1
2022-11-12,Paramedic,1
2022-11-12,Parasite,1
2022-11-12,Summoner,3
2022-11-12,Tracker,3
2022-11-12,Traitor,4
2022-11-12,Veteran,1
2022-11-15,Beggar,1
2022-11-15,Drunk,2
2022-11-15,Glitch,1
2022-11-15,Impersonator,1
2022-11-15,Informant,1
2022-11-15,Innocent,11
2022-11-15,Jester,1
2022-11-15,Loot Goblin,3
2022-11-15,Mad Scientist,3
2022-11-15,Medium,1
2022-11-15,Parasite,1
2022-11-15,Randoman,2
2022-11-15,Summoner,2
2022-11-15,Tracker,2
2022-11-15,Traitor,4
2022-11-15,Turncoat,2
2022-11-15,Veteran,2
2022-11-19,Beggar,1
2022-11-19,Deputy,1
2022-11-19,Drunk,1
2022-11-19,Hypnotist,1
2022-11-19,Impersonator,2
2022-11-19,Informant,1
2022-11-19,Innocent,12
2022-11-19,Killer Clown,1
2022-11-19,Loot Goblin,1
2022-11-19,Mad Scientist,1
2022-11-19,Medium,3
2022-11-19,Paladin,1
2022-11-19,Paramedic,1
2022-11-19,Parasite,1
2022-11-19,Randoman,1
2022-11-19,Summoner,2
2022-11-19,Swapper,1
2022-11-19,Traitor,6
2022-11-19,Turncoat,2
2022-11-19,Veteran,2
2022-11-22,Beggar,1
2022-11-22,Drunk,1
2022-11-22,Informant,4
2022-11-22,Innocent,12
2022-11-22,Jester,1
2022-11-22,Loot Goblin,3
2022-11-22,Medium,1
2022-11-22,Paladin,2
2022-11-22,Paramedic,2
2022-11-22,Randoman,2
2022-11-22,Summoner,2
2022-11-22,Tracker,1
2022-11-22,Traitor,6
2022-11-22,Turncoat,2
2022-11-22,Veteran,2
2022-11-25,Beggar,1
2022-11-25,Deputy,1
2022-11-25,Drunk,1
2022-11-25,Glitch,2
2022-11-25,Informant,3
2022-11-25,Innocent,16
2022-11-25,Jester,3
2022-11-25,Killer Clown,2
2022-11-25,Mad Scientist,1
2022-11-25,Medium,1
2022-11-25,Paladin,3
2022-11-25,Paramedic,2
2022-11-25,Parasite,2
2022-11-25,Randoman,2
2022-11-25,Summoner,2
2022-11-25,Tracker,2
2022-11-25,Traitor,9
2022-11-25,Turncoat,2
2022-11-25,Veteran,1
2022-12-01,Beggar,2
2022-12-01,Drunk,1
2022-12-01,Glitch,1
2022-12-01,Impersonator,1
2022-12-01,Informant,2
2022-12-01,Innocent,10
2022-12-01,Loot Goblin,2
2022-12-01,Paladin,2
2022-12-01,Parasite,1
2022-12-01,Randoman,2
2022-12-01,Tracker,1
2022-12-01,Traitor,6
2022-12-01,Turncoat,1
2022-12-01,Veteran,3
2022-12-03,Beggar,1
2022-12-03,Deputy,1
2022-12-03,Glitch,2
2022-12-03,Informant,2
2022-12-03,Innocent,8
2022-12-03,Killer Clown,1
2022-12-03,Mad Scientist,2
2022-12-03,Medium,3
2022-12-03,Parasite,1
2022-12-03,Summoner,1
2022-12-03,Tracker,1
2022-12-03,Traitor,4
2022-12-03,Turncoat,1
2022-12-10,Beggar,3
2022-12-10,Glitch,5
2022-12-10,Impersonator,2
2022-12-10,Informant,1
2022-12-10,Innocent,14
2022-12-10,Jester,2
2022-12-10,Mad Scientist,1
2022-12-10,Paladin,2
2022-12-10,Parasite,5
2022-12-10,Randoman,2
2022-12-10,Swapper,1
2022-12-10,Tracker,3
2022-12-10,Traitor,6
2022-12-10,Veteran,2
2022-12-13,Deputy,3
2022-12-13,Glitch,1
2022-12-13,Impersonator,3
2022-12-13,Informant,2
2022-12-13,Innocent,12
2022-12-13,Jester,4
2022-12-13,Loot Goblin,1
2022-12-13,Mad Scientist,1
2022-12-13,Paladin,2
2022-12-13,Paramedic,2
2022-12-13,Parasite,1
2022-12-13,Randoman,4
2022-12-13,Summoner,2
2022-12-13,Swapper,2
2022-12-13,Tracker,1
2022-12-13,Traitor,6
2022-12-13,Turncoat,1
2022-12-13,Veteran,1
2022-12-17,Detective,1
2022-12-17,Drunk,2
2022-12-17,Elf,2
2022-12-17,Glitch,2
2022-12-17,Impersonator,1
2022-12-17,Innocent,10
2022-12-17,Jester,1
2022-12-17,Killer Clown,2
2022-12-17,Loot Goblin,1
2022-12-17,Mad Scientist,1
2022-12-17,Paramedic,1
2022-12-17,Parasite,2
2022-12-17,Santa,3
2022-12-17,Summoner,2
2022-12-17,Swapper,1
2022-12-17,Tracker,1
2022-12-17,Traitor,5
2022-12-17,Veteran,2
2022-12-20,Beggar,1
2022-12-20,Glitch,2
2022-12-20,Impersonator,2
2022-12-20,Innocent,11
2022-12-20,Jester,2
2022-12-20,Loot Goblin,1
2022-12-20,Mad Scientist,4
2022-12-20,Medium,1
2022-12-20,Paramedic,1
2022-12-20,Parasite,2
2022-12-20,Santa,4
2022-12-20,Summoner,1
2022-12-20,Swapper,1
2022-12-20,Traitor,5
2022-12-20,Turncoat,1
2022-12-20,Veteran,1
2022-12-24,Deputy,1
2022-12-24,Detective,1
2022-12-24,Drunk,2
2022-12-24,Elf,3
2022-12-24,Glitch,1
2022-12-24,Hypnotist,2
2022-12-24,Informant,3
2022-12-24,Innocent,13
2022-12-24,Jester,4
2022-12-24,Loot Goblin,1
2022-12-24,Mad Scientist,1
2022-12-24,Paladin,1
2022-12-24,Paramedic,4
2022-12-24,Parasite,2
2022-12-24,Randoman,2
2022-12-24,Santa,3
2022-12-24,Summoner,1
2022-12-24,Swapper,1
2022-12-24,Traitor,6
2022-12-24,Turncoat,2
2022-12-24,Veteran,2
2022-12-27,Beggar,2
2022-12-27,Informant,3
2022-12-27,Innocent,13
2022-12-27,Killer Clown,1
2022-12-27,Mad Scientist,2
2022-12-27,Medium,1
2022-12-27,Paladin,4
2022-12-27,Paramedic,1
2022-12-27,Parasite,1
2022-12-27,Randoman,1
2022-12-27,Summoner,2
2022-12-27,Traitor,6
2022-12-27,Turncoat,3
2022-12-27,Veteran,2
2022-12-31,Beggar,1
2022-12-31,Impersonator,2
2022-12-31,Informant,2
2022-12-31,Innocent,10
2022-12-31,Jester,2
2022-12-31,Paladin,3
2022-12-31,Paramedic,3
2022-12-31,Parasite,1
2022-12-31,Randoman,2
2022-12-31,Swapper,2
2022-12-31,Traitor,5
2022-12-31,Veteran,2
2023-01-03,Beggar,1
2023-01-03,Drunk,2
2023-01-03,Glitch,1
2023-01-03,Impersonator,1
2023-01-03,Informant,2
2023-01-03,Innocent,13
2023-01-03,Jester,1
2023-01-03,Killer Clown,1
2023-01-03,Medium,2
2023-01-03,Paramedic,1
2023-01-03,Parasite,2
2023-01-03,Summoner,1
2023-01-03,Swapper,1
2023-01-03,Tracker,3
2023-01-03,Traitor,6
2023-01-03,Turncoat,3
2023-01-03,Veteran,1
2023-01-07,Glitch,1
2023-01-07,Hypnotist,1
2023-01-07,Impersonator,1
2023-01-07,Informant,1
2023-01-07,Innocent,12
2023-01-07,Jester,3
2023-01-07,Mad Scientist,1
2023-01-07,Paladin,1
2023-01-07,Parasite,3
2023-01-07,Randoman,2
2023-01-07,Swapper,2
2023-01-07,Tracker,3
2023-01-07,Traitor,6
2023-01-07,Turncoat,2
2023-01-07,Veteran,3
2023-01-10,Beggar,1
2023-01-10,Glitch,2
2023-01-10,Hypnotist,1
2023-01-10,Informant,1
2023-01-10,Innocent,10
2023-01-10,Jester,7
2023-01-10,Killer Clown,1
2023-01-10,Mad Scientist,1
2023-01-10,Medium,4
2023-01-10,Paladin,1
2023-01-10,Paramedic,2
2023-01-10,Summoner,3
2023-01-10,Tracker,1
2023-01-10,Traitor,6
2023-01-10,Veteran,1
2023-01-14,Beggar,1
2023-01-14,Drunk,2
2023-01-14,Glitch,2
2023-01-14,Hypnotist,1
2023-01-14,Impersonator,1
2023-01-14,Informant,1
2023-01-14,Innocent,8
2023-01-14,Jester,1
2023-01-14,Killer Clown,1
2023-01-14,Loot Goblin,1
2023-01-14,Mad Scientist,2
2023-01-14,Medium,1
2023-01-14,Paladin,2
2023-01-14,Randoman,1
2023-01-14,Summoner,1
2023-01-14,Traitor,4
2023-01-14,Turncoat,1
2023-01-14,Veteran,1
2023-01-17,Deputy,2
2023-01-17,Drunk,2
2023-01-17,Glitch,2
2023-01-17,Hypnotist,1
2023-01-17,Impersonator,2
2023-01-17,Innocent,11
2023-01-17,Jester,1
2023-01-17,Killer Clown,3
2023-01-17,Mad Scientist,2
2023-01-17,Medium,1
2023-01-17,Paladin,2
2023-01-17,Parasite,1
2023-01-17,Summoner,1
2023-01-17,Swapper,1
2023-01-17,Tracker,2
2023-01-17,Traitor,5
2023-01-17,Veteran,1
2023-01-21,Beggar,2
2023-01-21,Drunk,3
2023-01-21,Hypnotist,1
2023-01-21,Informant,1
2023-01-21,Innocent,13
2023-01-21,Jester,2
2023-01-21,Killer Clown,2
2023-01-21,Mad Scientist,1
2023-01-21,Medium,3
2023-01-21,Paladin,1
2023-01-21,Parasite,1
2023-01-21,Randoman,1
2023-01-21,Summoner,4
2023-01-21,Tracker,1
2023-01-21,Traitor,5
2023-01-21,Turncoat,5
2023-01-21,Veteran,2
2023-01-24,Drunk,2
2023-01-24,Glitch,2
2023-01-24,Innocent,17
2023-01-24,Jester,1
2023-01-24,Killer Clown,2
2023-01-24,Mad Scientist,1
2023-01-24,Paladin,3
2023-01-24,Parasite,1
2023-01-24,Randoman,1
2023-01-24,Summoner,3
2023-01-24,Swapper,1
2023-01-24,Traitor,4
2023-01-24,Turncoat,1
2023-01-24,Veteran,1
2023-01-28,Beggar,1
2023-01-28,Drunk,2
2023-01-28,Glitch,1
2023-01-28,Hypnotist,1
2023-01-28,Innocent,16
2023-01-28,Loot Goblin,1
2023-01-28,Mad Scientist,1
2023-01-28,Medium,1
2023-01-28,Paladin,2
2023-01-28,Parasite,2
2023-01-28,Randoman,1
2023-01-28,Summoner,1
2023-01-28,Swapper,2
2023-01-28,Traitor,4
2023-01-28,Turncoat,1
2023-01-28,Veteran,3
2023-01-31,Drunk,2
2023-01-31,Informant,1
2023-01-31,Innocent,9
2023-01-31,Jester,2
2023-01-31,Killer Clown,1
2023-01-31,Mad Scientist,1
2023-01-31,Medium,2
2023-01-31,Paladin,1
2023-01-31,Paramedic,3
2023-01-31,Parasite,1
2023-01-31,Randoman,1
2023-01-31,Summoner,2
2023-01-31,Swapper,1
2023-01-31,Traitor,4
2023-01-31,Veteran,1
2023-02-04,Beggar,1
2023-02-04,Drunk,3
2023-02-04,Hypnotist,1
2023-02-04,Impersonator,1
2023-02-04,Informant,1
2023-02-04,Innocent,12
2023-02-04,Jester,1
2023-02-04,Killer Clown,2
2023-02-04,Mad Scientist,2
2023-02-04,Medium,1
2023-02-04,Paladin,3
2023-02-04,Paramedic,1
2023-02-04,Parasite,1
2023-02-04,Randoman,1
2023-02-04,Summoner,2
2023-02-04,Swapper,2
2023-02-04,Tracker,1
2023-02-04,Traitor,6
2023-02-04,Turncoat,4
2023-02-04,Veteran,2
2023-02-07,Drunk,1
2023-02-07,Glitch,2
2023-02-07,Hypnotist,1
2023-02-07,Impersonator,1
2023-02-07,Informant,2
2023-02-07,Innocent,12
2023-02-07,Jester,1
2023-02-07,Killer Clown,1
2023-02-07,Loot Goblin,2
2023-02-07,Medium,1
2023-02-07,Paladin,2
2023-02-07,Paramedic,1
2023-02-07,Parasite,1
2023-02-07,Randoman,1
2023-02-07,Summoner,1
2023-02-07,Swapper,1
2023-02-07,Tracker,2
2023-02-07,Traitor,6
2023-02-07,Turncoat,2
2023-02-07,Veteran,1
2023-02-11,Drunk,1
2023-02-11,Glitch,3
2023-02-11,Impersonator,1
2023-02-11,Innocent,10
2023-02-11,Jester,1
2023-02-11,Killer Clown,1
2023-02-11,Loot Goblin,1
2023-02-11,Mad Scientist,1
2023-02-11,Medium,1
2023-02-11,Paladin,3
2023-02-11,Parasite,2
2023-02-11,Randoman,1
2023-02-11,Summoner,2
2023-02-11,Traitor,5
2023-02-11,Veteran,2
2023-02-14,Communist,2
2023-02-14,Deputy,2
2023-02-14,Informant,2
2023-02-14,Innocent,9
2023-02-14,Jester,1
2023-02-14,Killer Clown,1
2023-02-14,Loot Goblin,2
2023-02-14,Mad Scientist,2
2023-02-14,Medium,2
2023-02-14,Paladin,1
2023-02-14,Paramedic,1
2023-02-14,Randoman,1
2023-02-14,Summoner,2
2023-02-14,Taxidemist,1
2023-02-14,Tracker,1
2023-02-14,Traitor,4
2023-02-14,Turncoat,1
2023-02-18,Deputy,2
2023-02-18,Drunk,1
2023-02-18,Glitch,1
2023-02-18,Hypnotist,1
2023-02-18,Informant,1
2023-02-18,Innocent,6
2023-02-18,Jester,1
2023-02-18,Loot Goblin,1
2023-02-18,Mad Scientist,2
2023-02-18,Parasite,1
2023-02-18,Randoman,2
2023-02-18,Swapper,1
2023-02-18,Tracker,1
2023-02-18,Traitor,3
2023-02-21,Beggar,2
2023-02-21,Drunk,1
2023-02-21,Glitch,3
2023-02-21,Informant,3
2023-02-21,Innocent,8
2023-02-21,Killer Clown,1
2023-02-21,Loot Goblin,1
2023-02-21,Mad Scientist,3
2023-02-21,Paladin,1
2023-02-21,Parasite,1
2023-02-21,Tracker,3
2023-02-21,Traitor,4
2023-02-21,Turncoat,1
2023-02-25,Drunk,1
2023-02-25,Glitch,1
2023-02-25,Hypnotist,2
2023-02-25,Informant,1
2023-02-25,Innocent,10
2023-02-25,Jester,3
2023-02-25,Killer Clown,1
2023-02-25,Mad Scientist,4
2023-02-25,Medium,1
2023-02-25,Paladin,1
2023-02-25,Parasite,2
2023-02-25,Randoman,3
2023-02-25,Swapper,1
2023-02-25,Traitor,5
2023-02-25,Turncoat,2
2023-02-25,Veteran,2
2023-02-28,Deputy,1
2023-02-28,Drunk,3
2023-02-28,Glitch,1
2023-02-28,Hypnotist,1
2023-02-28,Informant,2
2023-02-28,Innocent,8
2023-02-28,Killer Clown,2
2023-02-28,Loot Goblin,2
2023-02-28,Mad Scientist,1
2023-02-28,Medium,2
2023-02-28,Paladin,1
2023-02-28,Summoner,1
2023-02-28,Tracker,1
2023-02-28,Traitor,4
2023-02-28,Turncoat,1
2023-02-28,Veteran,1
2023-03-04,Beggar,1
2023-03-04,Drunk,1
2023-03-04,Hypnotist,1
2023-03-04,Informant,2
2023-03-04,Innocent,8
2023-03-04,Jester,1
2023-03-04,Killer Clown,1
2023-03-04,Mad Scientist,2
2023-03-04,Medium,1
2023-03-04,Paladin,1
2023-03-04,Paramedic,1
2023-03-04,Randoman,1
2023-03-04,Summoner,1
2023-03-04,Swapper,2
2023-03-04,Tracker,1
2023-03-04,Traitor,4
2023-03-04,Turncoat,1
2023-03-04,Veteran,2
2023-03-07,Beggar,2
2023-03-07,Deputy,1
2023-03-07,Drunk,1
2023-03-07,Glitch,1
2023-03-07,Informant,3
2023-03-07,Innocent,10
2023-03-07,Jester,1
2023-03-07,Killer Clown,2
2023-03-07,Mad Scientist,1
2023-03-07,Medium,3
2023-03-07,Paladin,1
2023-03-07,Paramedic,1
2023-03-07,Parasite,2
2023-03-07,Randoman,1
2023-03-07,Summoner,1
2023-03-07,Swapper,3
2023-03-07,Traitor,5
2023-03-07,Turncoat,1
2023-03-11,Beggar,2
2023-03-11,Drunk,1
2023-03-11,Impersonator,1
2023-03-11,Informant,1
2023-03-11,Innocent,13
2023-03-11,Jester,2
2023-03-11,Killer Clown,2
2023-03-11,Loot Goblin,1
2023-03-11,Mad Scientist,2
2023-03-11,Medium,1
2023-03-11,Paladin,3
2023-03-11,Parasite,2
2023-03-11,Randoman,2
2023-03-11,Summoner,2
2023-03-11,Swapper,1
2023-03-11,Traitor,7
2023-03-11,Turncoat,3
2023-03-11,Veteran,2
2023-03-14,Beggar,2
2023-03-14,Deputy,2
2023-03-14,Hypnotist,1
2023-03-14,Informant,2
2023-03-14,Innocent,12
2023-03-14,Jester,4
2023-03-14,Killer Clown,1
2023-03-14,Loot Goblin,1
2023-03-14,Mad Scientist,2
2023-03-14,Paladin,3
2023-03-14,Parasite,1
2023-03-14,Summoner,2
2023-03-14,Swapper,2
2023-03-14,Tracker,3
2023-03-14,Traitor,6
2023-03-14,Turncoat,2
2023-03-14,Veteran,2
2023-03-18,Beggar,1
2023-03-18,Drunk,1
2023-03-18,Glitch,3
2023-03-18,Impersonator,2
2023-03-18,Innocent,14
2023-03-18,Jester,2
2023-03-18,Loot Goblin,1
2023-03-18,Mad Scientist,1
2023-03-18,Medium,1
2023-03-18,Paladin,2
2023-03-18,Paramedic,1
2023-03-18,Parasite,1
2023-03-18,Randoman,2
